"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0","+4.1","56% (9/16)"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","+1","+0.7","56% (9/16)"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","+1","+2.9","68% (11/16)"
"4",1,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-2","+3.8","50% (8/16)"
"5",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars","0","+0.7","50% (8/16)"
"6",1,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars","0","-0.4","46% (7/15)"
"7",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+5","+1.8","42% (6/14)"
"8",2,"Puka Nacua",LAR,"WR5","8","3 out of 5 stars","+3","+1.4","54% (6/11)"
"9",2,"Nico Collins",HOU,"WR6","6","4 out of 5 stars","+4","+0.9","63% (7/11)"
"10",2,"Amon-Ra St. Brown",DET,"WR7","8","3 out of 5 stars","-1","+1.0","62% (10/16)"
"11",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-4","-8.2","0% (0/4)"
"12",2,"Derrick Henry",BAL,"RB5","7","4 out of 5 stars","-4","+2.8","56% (9/16)"
"13",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+2","+3.7","75% (12/16)"
"14",2,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-4","-","-"
"15",2,"De'Von Achane",MIA,"RB7","12","4 out of 5 stars","-1","-0.2","50% (8/16)"
"16",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+2","-0.3","56% (9/16)"
"17",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+4","+0.8","53% (7/13)"
"18",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","-1","+1.4","56% (9/16)"
"19",3,"Jonathan Taylor",IND,"RB8","11","2 out of 5 stars","0","+1.3","46% (6/13)"
"20",3,"Josh Jacobs",GB,"RB9","5","4 out of 5 stars","-4","+1.9","50% (8/16)"
"21",3,"Bucky Irving",TB,"RB10","9","3 out of 5 stars","-1","+2.8","75% (12/16)"
"22",3,"Chase Brown",CIN,"RB11","10","4 out of 5 stars","+2","+2.3","62% (10/16)"
"23",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+4","+1.3","53% (8/15)"
"24",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+2","+2.0","53% (8/15)"
"25",3,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","0","-0.1","43% (7/16)"
"26",3,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-4","+2.0","56% (9/16)"
"27",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-4","+3.6","75% (12/16)"
"28",4,"Tee Higgins",CIN,"WR12","10","3 out of 5 stars","+3","+4.0","63% (7/11)"
"29",4,"Jaxon Smith-Njigba",SEA,"WR13","8","3 out of 5 stars","+1","+1.6","50% (8/16)"
"30",4,"Tyreek Hill",MIA,"WR14","12","3 out of 5 stars","-2","-2.1","31% (5/16)"
"31",4,"Garrett Wilson",NYJ,"WR15","9","4 out of 5 stars","+3","+0.1","43% (7/16)"
"32",4,"George Kittle",SF,"TE3","14","3 out of 5 stars","+3","+2.9","78% (11/14)"
"33",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+8","+1.3","46% (6/13)"
"34",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-5","+2.0","56% (9/16)"
"35",4,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+5","+1.5","46% (6/13)"
"36",4,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","0","0.0","53% (8/15)"
"37",4,"Breece Hall",NYJ,"RB13","9","5 out of 5 stars","-5","-2.6","26% (4/15)"
"38",4,"Kenneth Walker III",SEA,"RB14","8","3 out of 5 stars","+6","+0.2","36% (4/11)"
"39",4,"James Cook",BUF,"RB15","7","4 out of 5 stars","-6","+2.1","60% (9/15)"
"40",4,"Omarion Hampton",LAC,"RB16","12","2 out of 5 stars","-3","-","-"
"41",4,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+2","-1.6","37% (6/16)"
"42",4,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","0","+1.8","75% (12/16)"
"43",4,"Alvin Kamara",NO,"RB17","11","4 out of 5 stars","-4","-0.1","35% (5/14)"
"44",5,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","+2","-0.2","31% (5/16)"
"45",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-7","+3.9","68% (11/16)"
"46",5,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars","-1","+2.1","53% (8/15)"
"47",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+1","-1.7","28% (4/14)"
"48",5,"James Conner",ARI,"RB19","8","3 out of 5 stars","-1","+0.4","62% (10/16)"
"49",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","0","+1.1","62% (10/16)"
"50",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+2","+1.7","53% (7/13)"
"51",5,"Zay Flowers",BAL,"WR24","7","3 out of 5 stars","+7","-1.4","37% (6/16)"
"52",5,"Jameson Williams",DET,"WR25","8","3 out of 5 stars","+10","+2.6","60% (9/15)"
"53",5,"Tetairoa McMillan",CAR,"WR26","14","4 out of 5 stars","+11","-","-"
"54",5,"TreVeyon Henderson",NE,"RB20","14","4 out of 5 stars","+2","-","-"
"55",5,"David Montgomery",DET,"RB21","8","2 out of 5 stars","-1","+1.9","71% (10/14)"
"56",5,"Jaylen Waddle",MIA,"WR27","12","3 out of 5 stars","+17","-1.3","21% (3/14)"
"57",5,"Xavier Worthy",KC,"WR28","10","3 out of 5 stars","+3","+0.7","50% (8/16)"
"58",5,"George Pickens",DAL,"WR29","10","2 out of 5 stars","+10","-1.2","30% (4/13)"
"59",5,"Rashee Rice",KC,"WR30","10","3 out of 5 stars","-9","-0.7","75% (3/4)"
"60",5,"D'Andre Swift",CHI,"RB22","5","3 out of 5 stars","-1","-1.3","31% (5/16)"
"61",5,"Sam LaPorta",DET,"TE4","8","3 out of 5 stars","-10","+0.3","46% (7/15)"
